,index,First,Longitude,Latitude,Longitude_difference,Latitude_difference,Month,class
168,168,2023-09-01 10:32:14,121.079,18.109,0.16399999999998727,-1.1609999999999978,9,1.0
169,169,2023-09-01 21:19:14,120.915,19.27,1.291000000000011,6.686999999999999,9,1.0
170,170,2023-09-02 10:33:14,119.624,12.583,-1.835000000000008,11.903,9,1.0
171,171,2023-09-02 21:29:14,121.459,0.68,0.04200000000000159,0.28500000000000003,9,1.0
172,172,2023-09-03 10:18:14,121.417,0.395,1.168999999999997,-8.458,9,1.0
173,173,2023-09-03 21:29:15,120.248,8.853,0.16600000000001103,0.931,9,1.0
174,174,2023-09-04 10:27:15,120.082,7.922,0.2909999999999968,-2.245,9,1.0
175,175,2023-09-04 21:30:15,119.791,10.167,-0.4579999999999984,-3.359,9,1.0
176,176,2023-09-05 10:29:15,120.249,13.526,-1.2090000000000032,8.484,9,1.0
177,177,2023-09-05 21:26:15,121.458,5.042,0.04200000000000159,0.18900000000000006,9,1.0
178,178,2023-09-06 10:19:15,121.416,4.853,-0.08200000000000784,0.5439999999999996,9,1.0
179,179,2023-09-06 21:26:15,121.498,4.309,0.04400000000001114,0.2469999999999999,9,1.0
180,180,2023-09-07 10:18:15,121.454,4.062,0.4199999999999875,-3.7989999999999995,9,1.0
181,181,2023-09-07 21:26:16,121.034,7.861,0.16800000000000637,1.2219999999999995,9,1.0
182,182,2023-09-08 10:21:16,120.866,6.639,-0.33199999999999363,2.9000000000000004,9,1.0
183,183,2023-09-08 21:27:16,121.198,3.739,0.6689999999999969,7.05,9,1.0
184,184,2023-09-09 10:18:16,120.529,-3.311,-0.5820000000000078,7.682,9,1.0
185,185,2023-09-09 21:32:16,121.111,-10.993,-0.08199999999999363,-0.6760000000000002,9,1.0
186,186,2023-09-10 10:13:16,121.193,-10.317,1.543999999999997,-18.637999999999998,9,1.0
187,187,2023-09-10 21:31:16,119.649,8.321,-0.8289999999999935,-8.046000000000001,9,1.0
188,188,2023-09-11 10:25:16,120.478,16.367,-0.5790000000000077,4.846,9,1.0
189,189,2023-09-11 21:24:17,121.057,11.521,0.04399999999999693,0.03300000000000125,9,1.0
190,190,2023-09-12 10:20:17,121.013,11.488,0.29400000000001114,-3.4139999999999997,9,1.0
191,191,2023-09-12 21:24:17,120.719,14.902,0.2949999999999875,2.520999999999999,9,1.0
192,192,2023-09-13 10:22:17,120.424,12.381,-0.08099999999998886,0.41600000000000037,9,1.0
193,193,2023-09-13 21:26:17,120.505,11.965,0.04399999999999693,0.0259999999999998,9,1.0
194,194,2023-09-14 10:21:17,120.461,11.939,-0.9549999999999983,14.008,9,1.0
195,195,2023-09-15 21:32:18,120.073,-8.836,-0.7050000000000125,-15.592,9,1.0
196,196,2023-09-16 10:17:18,120.778,6.756,4.420000000000002,-37.64,9,1.0
197,197,2023-09-16 21:26:18,116.358,44.396,-16.459000000000003,-27.647999999999996,9,1.0
198,198,2023-09-17 10:52:18,132.817,72.044,-5.331999999999994,3.6229999999999905,9,1.0
199,199,2023-09-17 19:14:18,138.149,68.421,11.548000000000002,23.315000000000005,9,1.0
200,200,2023-09-18 10:09:18,126.601,45.106,0.41899999999999693,-2.772999999999996,9,1.0
201,201,2023-09-18 20:46:18,126.182,47.879,1.296999999999997,5.296999999999997,9,1.0
202,202,2023-09-19 10:12:18,124.885,42.582,-0.7029999999999887,3.2749999999999986,9,1.0
203,203,2023-09-21 21:30:19,106.031,70.641,0.04400000000001114,-0.5330000000000013,9,1.0
204,204,2023-09-23 21:29:20,118.479,-31.747,-23.212000000000003,45.355000000000004,9,1.0
205,205,2023-09-24 10:27:20,141.691,-77.102,-2.8319999999999936,-1.6300000000000097,9,1.0
206,206,2023-09-24 18:23:20,144.523,-75.472,1.4189999999999827,-1.1779999999999973,9,1.0
207,207,2023-09-25 10:04:20,143.104,-74.294,0.29300000000000637,-0.26899999999999125,9,1.0
208,208,2023-09-25 18:34:20,142.811,-74.025,15.297000000000011,-22.921000000000006,9,1.0
